"","labsampnum","pedon_key","site_key","latitude","longitude","hzn_desgn","hzn_top","hzn_bot","horizon_ap","land_cover_simple","clay_total","claysilt","ph_h2o","al_fe","ca_mg","MCI","ET","prcp_mean","temp_mean","NPP","AI","AI_factor","SOC_NPP_Ratio","SOC_NPP_Ratio_factor","fraction_quant_method","WS_mgpg_OC","POM_mgpg_OC","MAOM_mgpg_OC","fMAOM"
"892","10N01996",40500,39848,42.66,-77.34,"A",0,18,"0","forest",13.1,62.8,5.2,0.425,3.11,-0.69412887807071,1036,1043.54250060394,8.2334797,0.623463636363636,0.8169,"Humid",27.3015972579869,"low","MIR prediction",17.021553105,4.8645827725,12.1569703325,0.714210404744379
"893","04N04262",31785,31666,35.2,-79.82,"Ap",0,18,"1","cropland",5.7,24.1,4.5,0.05,0.53,-1.54167198123124,1445,1544.50750213303,15.9042935,0.503036363636364,0.8149,"Humid",12.3011145163914,"low","MIR prediction",6.187907915,1.539377015,4.6485309,0.751228196000069
"894","17N00200",74560,135156,45.82,-90.08,"A",0,9,"0","forest",8.5,36.8,5.3,0.49,9.89,-0.240180016254588,898,1159.8475005459,4.26214805,0.919236363636364,0.9121,"Humid",26.469610064431,"low","MIR prediction",24.3318281025,6.4635981075,17.868229995,0.734356248109615
"895","15N03849",73087,133820,39.08,-119.46,"A",0,12,"0","grassland",3.4,13.9,6,0.13,4.04,-1.21736864433768,1738,537.754999235272,7.4563204,0.279477272727273,0.18,"Arid",15.12083044754,"low","MIR prediction",4.22592845485,0.49017931735,3.7357491375,0.884006716491513
"896","02N04273",29275,29202,42.15,-124.36,"3Ab",0,20,"0","forest",8.3,31.9,6,1.73,1.64,1.74873773513301,1049,2842.11499497667,12.10575875,1.19679090909091,1.8836,"Humid",27.6738398106299,"low","MIR prediction",33.119799905,3.79491971,29.324880195,0.885418398635099
"897","12N01360",59517,58716,43.53,-122.52,"A1",9,25,"0","forest",15,44.2,5.3,1.495,6.4,1.52678542372883,1294,2419.61000218987,6.68546815,0.934359090909091,1.2194,"Humid",47.6010381985221,"high","MIR prediction",44.4764627775,12.23248296,32.2439798175,0.724967270414584
"898","05N00696",33142,32996,40.51,-124.1,"A",6,29,"0","forest",10,34.1,5.4,0.235,7.59,-0.842962361824453,1171,2198.62499734061,12.158644,1.22026363636364,1.2561,"Humid",16.9459361844311,"low","MIR prediction",20.67850971,4.0614068625,16.6171028475,0.803592864308982
"899","03N01925",30100,29998,35.12,-105.79,"A",0,5,"0","grassland",19,48.2,7.1,0.07,14.46,-0.827754789183855,1844,471.092498779297,9.94048455,0.182,0.2011,"Arid",67.2696236813187,"high","MIR prediction",12.24307151,4.9925912825,7.2504802275,0.592210886098141
"900","19N02434",75772,136368,42.53,-121.3,"A1",2,9,"0","grassland",19.6,44.8,6.3,0.225,14.63,-0.520898301933567,1457,696.699997857213,7.34168536,0.342540909090909,0.2881,"Arid",86.4370905538821,"high","MIR prediction",29.6082395775,13.512926205,16.0953133725,0.543609265602242
"901","02N02320",29881,29796,35.17,-85.04,"Ap",0,18,"1","cropland",30.9,90,5.7,0.06,13.16,-0.910049811786905,1339,1609.30249912478,14.839731,0.60285,1.0584,"Humid",29.8131746827569,"low","MIR prediction",17.9728723575,2.7031064525,15.269765905,0.849600753917778
