"","pedon_key","c_stock_topsoil","NPP_MODIS_mean_2001_2022_kgC_m2","aridity_index_v3","horizon_ap","land_cover_simple","SOC_NPP_Ratio"
"220",16473,7.70918,0.49217619047619,0.5155,"1","cropland",15.663455789158
"221",16476,5.97537,0.563309523809524,0.4805,"0","cropland",10.6076140158079
"222",16477,5.306,NA,0.4701,"0","grassland",NA
"223",16481,9.82454,0.62572380952381,0.5746,"1","cropland",15.7010806532625
"224",16482,5.34131,0.509166666666667,0.5221,"1","cropland",10.4902978723404
"225",16570,17.16878,0.128342857142857,0.0781,"0","shrubland",133.772773820125
"226",16571,9.1969,0.108642857142857,0.0646,"1","cropland",84.6525969756739
"227",16572,5.87499,0.142966666666667,0.0754,"0","grassland",41.093425040802
"228",16575,5.38182,0.00199047619047619,0.195,"1","cropland",2703.78516746411
"229",16577,3.156,NA,0.3255,"1","cropland",NA
"230",16581,10.24296,0.068552380952381,0.2996,"1","cropland",149.418005001389
"231",16582,2.76514,0.389390476190476,0.098,"1","cropland",7.10120090006359
"232",16583,5.28776,NA,0.7018,"1","cropland",NA
"233",16585,12.93444,0.773638095238095,0.9373,"1","cropland",16.7189802048454
"234",16588,7.4318,0.76952380952381,0.948,"1","cropland",9.65766089108911
"235",16605,3.598,0.750271428571429,0.9201,"0","forest",4.79559778365925
"236",16606,3.87636,0.750271428571429,0.9201,"1","cropland",5.16661017917325
"237",16609,4.7364,0.731852380952381,0.9061,"1","cropland",6.4717969405748
"238",16896,2.81232,0.35392380952381,0.0785,"1","cropland",7.94611700123782
"239",16980,3.09245,0.735371428571429,1.0195,"1","cropland",4.20528984381071
"240",16982,6.3124,0.66142380952381,0.9882,"1","cropland",9.5436540219872
"241",16983,4.48384,0.685728571428571,0.9676,"1","cropland",6.53879710839358
"242",17094,1.63254,0.414290476190476,0.3155,"0","forest",3.94056849921265
"243",17116,3.7368,0.467652380952381,0.829,"1","cropland",7.9905505717515
"244",17219,4.4016,0.938819047619048,0.8577,"0","forest",4.68844343450738
"245",17235,7.77941,0.478738095238095,0.4422,"0","cropland",16.24982443925
"246",17236,5.11073,0.402290476190476,0.4565,"1","cropland",12.7040790236858
"247",17238,2.3454,0.40997619047619,0.4329,"1","cropland",5.72082002439166
"248",17239,3.70966,0.394033333333333,0.4247,"1","cropland",9.41458421453346
"249",17240,3.68402,0.374790476190476,0.4135,"1","cropland",9.82954539679313
"250",17241,5.1972,0.392919047619048,0.4493,"0","grassland",13.227152085126
"251",17242,4.84086,0.387833333333333,0.4453,"1","cropland",12.4818048990116
"252",17244,2.17294,0.411909523809524,0.4201,"1","cropland",5.27528467878984
"253",17245,4.90967,0.456052380952381,0.4338,"1","cropland",10.7655835273726
"254",17299,8.61916,0.562428571428571,0.2661,"0","forest",15.3248971297943
"255",17300,11.41834,0.492738095238095,0.2663,"0","forest",23.1732437786905
"256",17301,14.24869,0.597347619047619,0.2522,"0","forest",23.8532632350948
"257",17302,10.35412,0.323538095238095,0.362,"0","forest",32.0027846871642
"258",17303,11.74822,0.33192380952381,0.3497,"0","forest",35.3943274417537
"259",17306,8.9478,0.762761904761905,0.4758,"0","forest",11.7307903608441
"260",17307,8.3927,0.762761904761905,0.4758,"0","forest",11.0030403296292
"261",17308,8.88,0.602895238095238,0.5387,"0","forest",14.7289270820169
"262",17309,4.37184,0.655947619047619,0.5232,"0","forest",6.66492243137881
"263",17310,15.7106,0.598452380952381,0.2345,"0","forest",26.252046946489
"264",17336,12.0915,0.147028571428571,0.1502,"0","shrubland",82.239117761368
"265",17337,8.50456,0.557147619047619,0.1254,"1","cropland",15.2644644062871
"266",17338,8.2398,NA,0.121,"1","cropland",NA
"267",17339,12.91536,0.452204761904762,0.155,"1","cropland",28.5608668639365
"268",17340,4.94856,0.261919047619048,0.33,"0","grassland",18.8934712652037
"269",17341,7.07238,0.208766666666667,0.3231,"0","grassland",33.8769599233594
"270",17342,4.6463,0.204461904761905,0.2924,"0","grassland",22.7245266320423
"271",17343,5.55864,0.238161904761905,0.1471,"0","grassland",23.3397528691966
"272",17344,7.1014,0.352895238095238,0.2674,"0","grassland",20.1232525503319
"273",17345,1.70324,0.43412380952381,0.3326,"0","grassland",3.92339688041594
"274",17346,4.9936,0.426766666666667,0.2252,"0","grassland",11.7010075763493
"275",17347,8.17586,0.401661904761905,0.1652,"0","cropland",20.3550794911617
"276",17348,21.72984,0.1606,0.1797,"1","cropland",135.304109589041
"277",17349,14.17711,0.328795238095238,0.1676,"0","cropland",43.1183556128434
"278",17350,14.06817,0.37837619047619,0.1624,"1","cropland",37.1803785600121
"279",17351,17.5722,0.212361904761905,0.1767,"1","cropland",82.7464795048883
"280",17352,17.08242,0.234471428571429,0.3644,"0","grassland",72.8550173642844
"281",17353,13.75656,0.350780952380952,0.3046,"0","grassland",39.2169526498697
"282",17354,9.54406,0.234438095238095,0.2049,"0","grassland",40.7103631784205
"283",17355,16.42488,0.10582380952381,0.1103,"1","cropland",155.209683661072
"284",17357,11.93127,0.108909523809524,0.1355,"0","grassland",109.552127147917
"285",17402,10.19472,0.458819047619048,0.8736,"1","cropland",22.2194785785453
"286",17412,13.6236,0.541457142857143,0.2631,"1","cropland",25.1609941427893
"287",17413,11.56668,0.564819047619048,0.2545,"1","cropland",20.4785586618555
"288",17414,1.6461,0.195780952380952,0.206,"0","grassland",8.4078659337452
"289",17415,16.13296,0.175928571428571,0.1923,"1","cropland",91.7017620787657
"290",17431,4.30068,0.135138095238095,0.1176,"1","cropland",31.8243348955213
"291",17574,7.1492,0.570957142857143,0.8081,"1","cropland",12.5214301798984
"292",17575,5.31264,0.573185714285714,0.8207,"1","cropland",9.2686189965855
"293",17576,6.3481,0.592938095238095,0.7989,"1","cropland",10.7061766666399
"294",17580,5.61396,0.440480952380952,0.6386,"1","cropland",12.74506870196
"295",17584,4.41864,0.446195238095238,0.6112,"1","cropland",9.90292953116829
"296",17929,8.265,NA,0.9127,"1","cropland",NA
"297",17930,5.81064,NA,0.9127,"1","cropland",NA
"298",18170,7.15428,0.676676190476191,0.8834,"1","cropland",10.5726787800312
"299",18174,5.93898,0.891490476190476,0.9232,"0","forest",6.66185467889516
"300",18175,6.58692,0.891490476190476,0.9232,"0","forest",7.38865997553589
"301",18178,0.74952,0.31492380952381,0.2388,"0","cropland",2.38000423382829
"302",18180,6.50175,0.482728571428572,0.513,"0","forest",13.4687490751975
"303",18181,3.06336,0.446057142857143,0.3237,"0","grassland",6.86764027671022
"304",18183,3.51342,0.578714285714286,0.2685,"1","cropland",6.07107874598864
"305",18184,5.6904,0.597461904761905,0.498,"0","forest",9.52428925534204
"306",18287,2.89606,0.215604761904762,0.2144,"0","grassland",13.4322636217064
"307",18288,3.83334,0.215604761904762,0.2144,"0","grassland",17.7794774388762
"308",18289,3.52532,0.215604761904762,0.2144,"0","grassland",16.350844799788
"309",18291,1.56964,0.21137619047619,0.2131,"0","grassland",7.42581270134493
"310",18293,2.6279,0.233238095238095,0.2164,"0","grassland",11.2670273581053
"311",18376,0,0.230857142857143,0.5544,"0","shrubland",0
"312",18377,9.92407,0.384309523809524,0.5682,"0","forest",25.8231175267951
"313",18379,7.29024,0.383133333333333,0.5069,"0","forest",19.0279450147903
"314",18381,3.05492,0.379595238095238,0.4068,"0","forest",8.04783541366117
"315",18382,2.75525,0.39397619047619,0.4207,"0","forest",6.9934429201668
"316",18384,3.3716,0.28457619047619,0.4125,"0","grassland",11.8477937116179
"317",18385,1.03168,0.416290476190476,0.3992,"0","forest",2.47826952334107
"318",18386,3.23616,0.304195238095238,0.3964,"0","forest",10.6384308323289
"319",18387,4.708,0.43027619047619,0.3912,"0","forest",10.9418092476593
"320",18388,0.74592,0.273990476190476,0.4211,"0","forest",2.72243039382669
"321",18389,8.98098,0.376971428571429,0.4627,"1","cropland",23.8240336516598
"322",18391,0,0.426457142857143,0.4573,"0","forest",0
"323",18392,1.9619,0.441157142857143,0.4615,"0","forest",4.4471681616528
"324",18393,13.69852,0.268519047619048,0.7415,"0","grassland",51.0150774087145
"325",18395,13.83044,0.426804761904762,0.7463,"0","forest",32.4046056521885
"326",18414,1.9962,0.344409523809524,0.3941,"0","forest",5.79600696844841
"327",18415,5.50286,0.479495238095238,0.5355,"0","forest",11.4763600611754
"328",18416,2.73096,0.454538095238095,0.367,"0","grassland",6.00820927576923
"329",18417,3.00716,0.477009523809524,0.3309,"0","grassland",6.30419278840394
"330",18418,4.2746,0.48102380952381,0.2981,"0","grassland",8.88646240657328
"331",18419,3.19284,0.446242857142857,0.2852,"0","grassland",7.15493805423056
"332",18420,2.23908,0.514042857142857,0.3107,"0","forest",4.35582358335881
"333",18460,8.17127,0.404566666666667,0.2842,"0","grassland",20.1975858943726
"334",18461,6.44652,0.449995238095238,0.3884,"0","forest",14.325751595255
"335",18462,6.4136,0.582333333333333,0.4208,"0","forest",11.0136233543217
"336",18463,9.36741,0.283180952380952,0.5824,"0","grassland",33.0792375731486
"337",18464,3.8094,0.507628571428572,0.4038,"0","grassland",7.50430573535206
"338",18466,11.18896,0.555028571428572,0.2808,"0","forest",20.1592504890353
"339",18473,2.89095,0.774471428571429,0.9277,"1","cropland",3.73280394001439
"340",18474,3.88532,0.774471428571429,0.9277,"1","cropland",5.0167376828436
"341",18476,7.60474,0.799185714285714,0.9166,"1","cropland",9.51561053214879
"342",18477,4.86452,0.66437619047619,0.925,"0","forest",7.32193608039048
"343",18478,3.59976,0.480771428571429,0.9484,"0","forest",7.48746657158139
"344",18479,3.578,0.486238095238095,0.9116,"1","cropland",7.35853491332876
"345",18480,3.108,0.486238095238095,0.9116,"1","cropland",6.39193027127607
"346",18482,3.92372,0.495871428571429,0.9193,"1","cropland",7.91277692950362
"347",18484,9.31275,0.551614285714286,0.621,"0","forest",16.8827208453112
"348",18485,4.8006,0.530071428571429,0.483,"0","forest",9.05651529443472
"349",18486,3.29638,0.454928571428572,0.39,"0","forest",7.24592871722405
"350",18488,3.3296,0.5448,0.4971,"0","forest",6.11160058737151
"351",18490,5.2762,0.292690476190476,0.2546,"0","grassland",18.0265516960872
"352",18491,4.7538,0.3949,0.2613,"0","grassland",12.0379842998227
"353",18492,6.99755,0.315490476190476,0.3623,"0","grassland",22.1799088343169
"354",18497,8.30584,0.67232380952381,0.4944,"0","forest",12.3539280958722
"355",18498,6.8034,0.67232380952381,0.4944,"0","forest",10.1192310961271
"356",18499,6.71508,0.616604761904762,0.5073,"0","forest",10.8904121649278
"357",18597,6.00236,0.320833333333333,0.1233,"1","cropland",18.7086545454545
"358",18598,5.926,0.589785714285714,0.1233,"1","cropland",10.0477170885309
