"","site_key","pedon_key","latitude","longitude","POM_mgpg_OC","MAOM_mgpg_OC","WS_mgpg_OC","WS_mgpg_OC_calculated","clay_total","claysilt","ph_h2o","al_fe","DEC","ET","prcp_mean","temp_mean","NPP_MODIS_mean_2001_2022_kgC_m2","horizon_ap","hzn_top","hzn_bot","hzn_desgn","aridity_index_v3","land_cover_simple","labsampnum","fMAOM","SOC_NPP_Ratio","SOC_NPP_Ratio_factor","aridity_index_factor_5_8","aridity_index_factor_5_10","MCI","aridity_index_factor","fraction_quant_method"
"385",19284,19284,32.29,-93.57,1.03543083525915,14.2485044569165,15.59,15.2839352921756,19.1,91.3,6.3,0.171083574975174,16.41,1525,1510.47249697056,18.068844,0.6699,"1",0,11,"Ap",0.8299,"cropland","92P03979",0.932253649635037,22.815248980707,"low","wet_8","mid_5_10",-0.503971838768058,"Sub-humid","direct measurement"
"386",19437,19437,40.29,-106.42,13.8158567774936,33.4601836782144,51.08,47.276040455708,14.5,64.7,5.9,0.284633105044016,24.05,1307,956.044998586178,1.5348745,0.529336363636364,"0",0,8,"A1",0.4481,"grassland","92P05002",0.707761973204219,89.3119077082432,"high","dry_5","dry_5",0.0598357918214514,"Arid","direct measurement"
"387",19455,19455,46.43,-97.4,18.2860915931368,23.2443045272368,51.4827754311532,41.5303961203736,11.1,20,7.7,0.024502271376705,52.35,1181,614.0199990049,5.9516189,0.474272727272727,"0",0,8,"A1",0.4106,"grassland","92P05120",0.559693783316307,87.566485973569,"high","dry_5","dry_5",0.975248639213886,"Arid","direct measurement"
"388",19477,19477,36.9,-107.78,3.42474538786404,5.60131129564648,12.744698543689,9.02605668351052,11.6,50.7,7,0.0385853481077999,10.69,1729,543.685001596808,8.98039168,0.231131818181818,"0",0,8,"A",0.2156,"grassland","92P05271",0.620571251882273,39.0515540201836,"low","dry_5","dry_5",-1.00791427641365,"Arid","direct measurement"
"389",19479,19479,36.68,-108.01,2.95973943727735,5.80869081123976,10.8776123723263,8.7684302485171,8.5,20.1,7.3,0.0222221244119846,14.36,1847,318.137499846518,11.401378,0.187745454545455,"1",0,13,"Ap",0.1347,"cropland","92P05286",0.662455040025221,46.7038217769166,"high","dry_5","dry_5",-0.85926827165317,"Arid","direct measurement"
"390",19509,19509,37.96,-109.62,11.8268284888168,6.82276221056694,18.2248712807568,18.6495906993838,6.6,49.3,7.8,0.0145850305347597,37.15,1739,441.450000435114,10.1075178,0.223336363636364,"0",0,8,"A",0.1816,"grassland","92P05478",0.365839782789034,83.5044969647175,"high","dry_5","dry_5",0.225731582980952,"Arid","direct measurement"
"391",19537,19537,37.6,-109.91,3.08097138034487,7.29256940685405,11.7714763673055,10.3735407871989,14.9,36,7.8,0.0902897145722517,15.31,1746,488.157501772046,8.49922485,0.200745454545455,"0",0,5,"A",0.1986,"grassland","92P05550",0.702997130531667,51.6750967571724,"high","dry_5","dry_5",-0.696198834335394,"Arid","direct measurement"
"392",19609,19609,37.09,-109.4,0.426388361109603,0.904022582921667,1.19495846405392,1.33041094403127,2.7,6.9,7.5,0.010501221985027,7.37,1920,281.557499527931,12.2385095,0.0810545454545454,"0",0,7,"A",0.1223,"shrubland","92P06181",0.679506273589718,16.4137734234455,"low","dry_5","dry_5",-1.21628594066824,"Arid","direct measurement"
"393",19662,19662,44.94,-90.53,4.09825673534073,14.2769582943909,20.295628066408,18.3752150297317,15.1,88.1,6.3,0.608973641594666,13.53,932,1241.19750061026,5.785950977,0.5234,"1",0,23,"Ap",0.8904,"cropland","92P06532",0.776968229829713,35.1074035722806,"low","wet_8","mid_5_10",0.111815667176157,"Sub-humid","direct measurement"
"394",19672,19672,42.38,-124.22,12.1444912763716,21.9041624476615,47.1752689763081,34.0486537240331,32.7,75.2,4.6,1.07365271443211,1,1212,3605.02249920368,9.6158194,1.12455454545455,"0",0,18,"A",1.7475,"forest","92P06616",0.643319487025725,30.277458627203,"low","wet_8","wet_10",0.308770123568232,"Humid","direct measurement"
"395",19731,19731,39.94,-87.13,1.10957146522964,19.2266187665726,34.3598143396129,20.3361902318022,18.8,96.4,4.6,0.282637674889634,8.56,1153,1414.67500294745,10.8550523,0.551827272727273,"0",0,11,"A",0.9132,"cropland","93P00029",0.945438577600712,36.8524558985559,"low","wet_8","mid_5_10",-0.690004513077119,"Humid","direct measurement"
"396",19763,19763,42.4,-85.37,0.665477894620933,4.05825028904916,6.0418846379237,4.7237281836701,9.2,24,7.4,0.164084192828419,7.87,1101,1219.86500184983,8.82339175,0.659572727272727,"1",0,19,"Ap",0.8197,"cropland","93P00286",0.859120197279453,7.16180034187023,"low","wet_8","mid_5_10",-0.92754184750804,"Sub-humid","direct measurement"
"397",19786,19786,34.77,-112.63,3.60491778282032,7.22355280420334,14.8977866341858,10.8284705870237,10.3,47,6.1,0.0699780504720922,10.24,2209,585.110003195703,13.5592985,0.1965,"0",0,10,"A",0.1882,"grassland","93P00431",0.667088925084186,55.1067205446497,"high","dry_5","dry_5",-0.97550272594826,"Arid","direct measurement"
